transaction_id,action,recovered,recovered_amount,recovery_time,action_cost
55253,voice_call,1,1751.0,24.6,90.0
64430,email,1,2184.55,340.2,5.0
82369,email,1,727.58,101.1,5.0
84980,voice_call,1,6273.11,38.6,90.0
48227,whatsapp,0,0.0,,18.0
24297,retry,1,2173.68,128.8,8.0
77230,whatsapp,1,1939.82,42.4,18.0
42475,retry,1,2024.22,222.8,8.0
90082,payment_link,1,4197.54,147.7,12.0
5041,payment_link,0,0.0,,12.0
36682,payment_link,1,1524.15,92.5,12.0
70722,email,1,3699.95,204.8,5.0
21439,retry,1,2809.63,42.6,8.0
50839,whatsapp,1,3577.2,69.8,18.0
74908,email,1,2331.48,63.6,5.0
60002,retry,0,0.0,,8.0
40585,whatsapp,1,1713.55,261.7,18.0
37729,whatsapp,0,0.0,,18.0
87428,voice_call,1,1079.32,129.8,90.0
69544,whatsapp,1,3179.51,354.8,18.0
30298,email,1,1424.0,473.8,5.0
10601,payment_link,1,4149.11,51.5,12.0
90250,payment_link,0,0.0,,12.0
91286,human_escalation,0,0.0,,250.0
79526,email,1,1153.06,54.3,5.0
2330,email,1,1910.87,58.9,5.0
35504,whatsapp,1,1275.55,159.5,18.0
45267,payment_link,1,835.8,332.2,12.0
69539,voice_call,1,2994.85,67.3,90.0
85767,email,1,2499.25,93.5,5.0
84354,email,1,1758.35,160.7,5.0
45152,retry,1,1687.09,302.7,8.0
93818,retry,1,5196.95,93.9,8.0
57818,human_escalation,1,1338.38,38.6,250.0
23959,payment_link,1,570.08,121.0,12.0
96724,payment_link,1,1530.92,128.0,12.0
50189,retry,1,1083.49,41.9,8.0
10379,email,1,717.41,440.1,5.0
61252,payment_link,1,2304.99,50.1,12.0
59566,voice_call,1,402.72,107.7,90.0
7698,email,0,0.0,,5.0
43649,email,1,2460.18,112.1,5.0
30133,email,0,0.0,,5.0
75461,retry,1,1000.32,141.6,8.0
83418,retry,1,1318.24,57.6,8.0
33133,whatsapp,1,996.44,244.6,18.0
29356,payment_link,0,0.0,,12.0
95413,payment_link,0,0.0,,12.0
60903,payment_link,1,4008.5,179.5,12.0
64283,whatsapp,1,3376.14,1137.1,18.0
3321,whatsapp,0,0.0,,18.0
11688,voice_call,1,3760.12,117.3,90.0
10950,retry,1,7691.48,95.8,8.0
41343,whatsapp,1,1506.83,317.4,18.0
69223,retry,1,2882.97,147.3,8.0
82792,retry,1,1836.31,51.6,8.0
69888,payment_link,0,0.0,,12.0
93470,retry,1,2154.27,87.0,8.0
33660,whatsapp,0,0.0,,18.0
73485,retry,1,3449.39,108.3,8.0
6733,email,1,3454.35,10.0,5.0
35721,human_escalation,1,1965.55,94.0,250.0
98298,retry,1,822.1,82.0,8.0
51358,voice_call,0,0.0,,90.0
75425,retry,1,2555.63,75.7,8.0
1163,payment_link,1,1702.47,50.8,12.0
43289,retry,1,1207.83,254.2,8.0
81138,human_escalation,1,1357.12,65.1,250.0
97391,retry,0,0.0,,8.0
18750,whatsapp,1,3191.78,363.3,18.0
33479,payment_link,1,799.57,33.0,12.0
14276,voice_call,0,0.0,,90.0
17180,retry,0,0.0,,8.0
31691,voice_call,0,0.0,,90.0
99197,retry,1,5003.2,153.5,8.0
13434,whatsapp,1,3862.22,88.0,18.0
25644,email,1,534.73,118.0,5.0
655,payment_link,1,570.22,175.9,12.0
52695,payment_link,1,971.35,39.4,12.0
83982,email,1,3296.18,107.4,5.0
23543,human_escalation,1,5893.61,162.7,250.0
14660,email,1,2755.31,74.6,5.0
17922,retry,1,2895.92,86.7,8.0
68587,human_escalation,1,496.23,574.5,250.0
33526,payment_link,0,0.0,,12.0
59475,whatsapp,1,368.23,42.0,18.0
70596,payment_link,0,0.0,,12.0
75087,retry,0,0.0,,8.0
23373,email,0,0.0,,5.0
19187,payment_link,1,2574.92,186.6,12.0
22141,whatsapp,1,6228.45,41.7,18.0
24182,email,0,0.0,,5.0
12496,retry,1,2730.14,68.8,8.0
77963,retry,1,1205.35,88.5,8.0
32899,retry,0,0.0,,8.0
15344,voice_call,1,3877.09,137.1,90.0
75333,human_escalation,1,1763.52,50.3,250.0
1819,retry,1,2620.45,72.6,8.0
65873,whatsapp,1,5351.08,230.1,18.0
57953,voice_call,0,0.0,,90.0
6533,human_escalation,1,742.41,205.9,250.0
70720,payment_link,1,928.28,93.1,12.0
79526,human_escalation,0,0.0,,250.0
26783,payment_link,1,2378.01,49.6,12.0
37080,retry,0,0.0,,8.0
65838,voice_call,1,1008.94,244.2,90.0
85914,whatsapp,1,1656.6,66.5,18.0
98785,human_escalation,1,1566.03,135.0,250.0
98375,email,1,795.79,87.1,5.0
85033,email,1,1844.12,153.6,5.0
96778,retry,1,3337.0,184.4,8.0
48974,email,1,2534.14,187.8,5.0
27463,payment_link,1,1334.26,90.9,12.0
94550,retry,1,3393.93,160.1,8.0
57976,email,1,3232.73,76.4,5.0
34068,retry,0,0.0,,8.0
83922,retry,0,0.0,,8.0
89854,whatsapp,1,1183.66,242.0,18.0
13935,whatsapp,1,764.75,67.2,18.0
27717,retry,1,14725.73,51.1,8.0
65207,retry,1,1312.87,153.1,8.0
10456,whatsapp,0,0.0,,18.0
79976,email,0,0.0,,5.0
7010,voice_call,1,4168.18,101.8,90.0
81517,email,1,6049.12,68.4,5.0
16472,payment_link,1,2600.86,198.0,12.0
67035,whatsapp,1,772.11,149.2,18.0
77684,whatsapp,1,4071.54,270.9,18.0
61823,whatsapp,1,570.52,173.3,18.0
43608,retry,1,2277.99,158.9,8.0
59391,payment_link,1,7407.69,115.5,12.0
7583,email,1,2199.22,125.8,5.0
74705,retry,0,0.0,,8.0
41965,whatsapp,1,748.36,173.7,18.0
83529,payment_link,1,2822.25,208.4,12.0
65546,payment_link,1,2670.58,193.8,12.0
49660,email,1,1217.35,49.2,5.0
33235,retry,1,1285.97,294.5,8.0
74531,retry,1,957.76,169.4,8.0
5995,retry,1,1404.72,231.2,8.0
97461,email,0,0.0,,5.0
80406,voice_call,0,0.0,,90.0
6760,email,0,0.0,,5.0
76491,whatsapp,1,698.79,87.6,18.0
13302,voice_call,1,1419.54,75.2,90.0
74932,voice_call,1,5526.23,217.6,90.0
53730,retry,1,913.5,428.9,8.0
14544,whatsapp,1,1466.67,102.6,18.0
91773,retry,1,2332.47,145.1,8.0
23317,email,1,668.28,80.2,5.0
94114,payment_link,1,2340.24,109.3,12.0
12013,voice_call,1,1364.29,308.1,90.0
71963,retry,0,0.0,,8.0
9721,retry,1,978.01,70.0,8.0
37448,payment_link,0,0.0,,12.0
20952,email,1,667.29,121.3,5.0
17655,retry,1,764.97,33.9,8.0
1682,retry,0,0.0,,8.0
34884,retry,0,0.0,,8.0
92124,voice_call,0,0.0,,90.0
28578,email,1,6046.26,56.4,5.0
29342,voice_call,1,1532.99,46.8,90.0
54370,email,0,0.0,,5.0
96058,voice_call,1,7368.82,54.5,90.0
39535,retry,1,1213.49,435.6,8.0
99562,email,1,2314.88,99.1,5.0
62331,human_escalation,1,1108.25,221.4,250.0
22899,whatsapp,0,0.0,,18.0
73821,whatsapp,1,1669.69,201.0,18.0
80902,whatsapp,1,2495.63,185.1,18.0
68160,retry,0,0.0,,8.0
69219,email,1,1341.67,256.0,5.0
24564,retry,1,1119.68,807.6,8.0
50448,human_escalation,1,597.0,234.6,250.0
63451,whatsapp,1,4692.75,167.1,18.0
89932,email,1,3384.42,248.1,5.0
28523,retry,1,1424.9,214.2,8.0
83475,voice_call,1,1781.44,116.1,90.0
55086,payment_link,1,655.53,180.9,12.0
91661,whatsapp,1,3070.35,217.5,18.0
70424,whatsapp,1,3704.65,151.4,18.0
2193,whatsapp,1,1296.37,84.2,18.0
22812,retry,1,2316.86,339.7,8.0
50184,retry,0,0.0,,8.0
93575,retry,1,2337.2,300.1,8.0
19794,whatsapp,1,769.59,293.5,18.0
84776,payment_link,1,7028.1,116.7,12.0
69837,voice_call,0,0.0,,90.0
50073,retry,1,924.95,59.4,8.0
94046,whatsapp,1,694.98,53.6,18.0
26058,retry,1,978.56,149.6,8.0
61598,payment_link,1,2539.79,21.2,12.0
99332,whatsapp,1,2362.74,127.8,18.0
35958,retry,1,2136.7,92.6,8.0
64391,payment_link,1,4939.81,162.4,12.0
36247,retry,1,1632.92,61.3,8.0
90908,whatsapp,1,1539.46,348.3,18.0
41489,payment_link,1,761.31,37.2,12.0
71947,whatsapp,1,1551.29,81.3,18.0
37018,whatsapp,0,0.0,,18.0
18132,retry,1,1045.03,378.5,8.0
45778,whatsapp,1,2258.54,60.3,18.0
77924,human_escalation,1,3563.47,108.6,250.0
14919,whatsapp,0,0.0,,18.0
30799,retry,1,398.82,38.5,8.0
57344,retry,0,0.0,,8.0
11479,payment_link,1,1671.46,31.2,12.0
79958,email,1,2678.37,256.2,5.0
59443,payment_link,0,0.0,,12.0
19357,email,0,0.0,,5.0
21264,voice_call,0,0.0,,90.0
8564,voice_call,0,0.0,,90.0
50150,email,1,961.71,230.1,5.0
10216,payment_link,1,701.08,141.5,12.0
76323,voice_call,1,1538.69,199.4,90.0
90224,payment_link,0,0.0,,12.0
86077,email,1,3280.13,166.9,5.0
23951,payment_link,1,2887.01,62.9,12.0
22742,retry,1,4913.54,73.2,8.0
66054,whatsapp,1,2326.01,117.2,18.0
89357,email,1,546.69,139.6,5.0
53048,payment_link,1,1949.85,245.8,12.0
11365,whatsapp,1,2167.57,71.5,18.0
88582,voice_call,1,1242.51,285.7,90.0
16152,human_escalation,1,1293.93,162.3,250.0
13091,payment_link,1,1628.18,102.5,12.0
68489,retry,0,0.0,,8.0
36936,payment_link,1,4505.46,350.6,12.0
6184,retry,1,2757.61,86.7,8.0
16662,retry,0,0.0,,8.0
60394,human_escalation,1,560.84,64.0,250.0
71559,retry,0,0.0,,8.0
47858,email,0,0.0,,5.0
69915,email,1,298.72,443.5,5.0
19801,human_escalation,1,1963.7,148.2,250.0
19526,payment_link,1,582.89,65.8,12.0
16318,human_escalation,1,629.37,22.6,250.0
21548,retry,0,0.0,,8.0
18171,payment_link,1,13234.2,164.4,12.0
69974,payment_link,1,2341.41,228.7,12.0
31042,payment_link,0,0.0,,12.0
67517,whatsapp,1,2976.11,342.5,18.0
54647,whatsapp,1,1265.26,225.2,18.0
83791,whatsapp,0,0.0,,18.0
83548,voice_call,0,0.0,,90.0
54923,email,0,0.0,,5.0
94951,payment_link,0,0.0,,12.0
869,retry,1,2195.51,105.7,8.0
49892,retry,0,0.0,,8.0
79637,whatsapp,1,918.95,204.6,18.0
27576,whatsapp,1,537.53,104.5,18.0
46510,human_escalation,1,1060.41,239.1,250.0
46624,payment_link,1,2021.34,104.0,12.0
13889,voice_call,1,906.01,66.7,90.0
65977,voice_call,1,1739.9,130.0,90.0
52417,voice_call,1,960.72,110.8,90.0
8686,email,1,3930.3,58.6,5.0
454,payment_link,1,1572.37,357.2,12.0
89440,retry,1,1487.3,155.2,8.0
40824,voice_call,1,1407.3,197.5,90.0
86267,whatsapp,0,0.0,,18.0
88020,retry,1,778.59,190.6,8.0
4788,payment_link,0,0.0,,12.0
70010,retry,1,1683.91,112.1,8.0
67696,retry,0,0.0,,8.0
43705,payment_link,1,1013.91,93.4,12.0
10129,whatsapp,0,0.0,,18.0
75607,payment_link,0,0.0,,12.0
44112,voice_call,1,3284.73,79.6,90.0
32974,payment_link,0,0.0,,12.0
28488,retry,1,1359.41,139.7,8.0
56562,retry,0,0.0,,8.0
46290,voice_call,1,2098.71,83.8,90.0
60127,email,1,1235.58,537.4,5.0
18139,retry,0,0.0,,8.0
91325,email,0,0.0,,5.0
84639,payment_link,0,0.0,,12.0
24546,retry,0,0.0,,8.0
9757,payment_link,1,822.7,124.4,12.0
68956,retry,0,0.0,,8.0
42479,payment_link,1,4892.13,48.5,12.0
35393,email,1,902.0,590.2,5.0
67865,whatsapp,1,953.25,173.2,18.0
21793,whatsapp,0,0.0,,18.0
22614,whatsapp,1,854.13,114.4,18.0
24262,retry,1,544.76,47.4,8.0
40209,payment_link,1,2051.18,43.4,12.0
33637,payment_link,0,0.0,,12.0
55091,payment_link,0,0.0,,12.0
9612,retry,0,0.0,,8.0
5308,retry,1,313.78,143.1,8.0
57517,payment_link,1,1923.56,159.2,12.0
37268,retry,1,1516.75,100.9,8.0
95428,whatsapp,0,0.0,,18.0
80957,retry,0,0.0,,8.0
64111,payment_link,1,5362.74,83.9,12.0
67885,voice_call,0,0.0,,90.0
52421,human_escalation,1,1480.56,99.7,250.0
55181,payment_link,1,6594.48,49.7,12.0
4159,voice_call,1,2503.29,128.9,90.0
2462,retry,1,994.6,127.8,8.0
50687,voice_call,0,0.0,,90.0
43898,whatsapp,0,0.0,,18.0
40745,whatsapp,0,0.0,,18.0
379,email,1,1061.55,78.2,5.0
10809,retry,1,1298.48,50.8,8.0
33892,payment_link,0,0.0,,12.0
75360,retry,0,0.0,,8.0
45014,retry,1,1959.86,158.6,8.0
72580,whatsapp,0,0.0,,18.0
44024,whatsapp,0,0.0,,18.0
30076,whatsapp,1,763.33,84.8,18.0
80659,retry,1,856.32,97.2,8.0
152,payment_link,1,2502.09,58.8,12.0
39728,whatsapp,0,0.0,,18.0
16498,retry,0,0.0,,8.0
57251,whatsapp,0,0.0,,18.0
77318,payment_link,1,1236.52,195.0,12.0
64512,email,1,1896.2,81.6,5.0
75172,retry,1,2917.85,88.2,8.0
37253,retry,1,585.81,263.7,8.0
78345,retry,0,0.0,,8.0
57514,whatsapp,1,1626.55,120.4,18.0
71163,payment_link,0,0.0,,12.0
41920,payment_link,1,724.03,67.7,12.0
83290,retry,0,0.0,,8.0
88529,email,1,3140.01,74.5,5.0
59439,whatsapp,0,0.0,,18.0
82076,voice_call,1,2318.86,70.2,90.0
67610,email,1,8976.83,25.5,5.0
22287,payment_link,1,1306.57,259.1,12.0
77504,retry,1,1633.48,44.3,8.0
76424,email,0,0.0,,5.0
65665,retry,1,1140.12,311.1,8.0
82573,payment_link,0,0.0,,12.0
66138,retry,1,1502.93,95.6,8.0
35024,whatsapp,1,1282.28,104.9,18.0
3030,human_escalation,1,1734.32,211.7,250.0
12370,voice_call,0,0.0,,90.0
91051,payment_link,1,693.29,216.4,12.0
50468,whatsapp,0,0.0,,18.0
96112,retry,0,0.0,,8.0
79093,whatsapp,0,0.0,,18.0
97430,whatsapp,0,0.0,,18.0
41871,payment_link,1,3603.11,108.7,12.0
87925,payment_link,0,0.0,,12.0
45866,retry,0,0.0,,8.0
86597,email,1,1258.56,362.9,5.0
94709,whatsapp,0,0.0,,18.0
71341,voice_call,0,0.0,,90.0
94080,voice_call,1,487.83,611.2,90.0
17448,whatsapp,0,0.0,,18.0
60691,whatsapp,1,2260.54,122.3,18.0
88277,voice_call,1,2170.47,568.8,90.0
52390,retry,1,1023.78,22.4,8.0
62311,retry,0,0.0,,8.0
14566,retry,0,0.0,,8.0
44255,payment_link,1,1958.84,44.7,12.0
50173,voice_call,1,4838.99,89.4,90.0
20757,payment_link,1,1504.85,90.3,12.0
11939,retry,0,0.0,,8.0
40561,whatsapp,1,953.13,77.9,18.0
87197,whatsapp,1,3478.43,159.4,18.0
4260,retry,0,0.0,,8.0
47860,email,1,1858.01,43.3,5.0
2863,human_escalation,1,640.52,120.1,250.0
26134,payment_link,1,7304.76,77.7,12.0
3031,payment_link,0,0.0,,12.0
15,retry,1,1313.79,193.1,8.0
98434,payment_link,1,1636.62,482.5,12.0
82873,whatsapp,1,862.09,67.5,18.0
86679,retry,1,1679.48,243.8,8.0
77926,payment_link,1,720.41,130.5,12.0
17913,human_escalation,1,1825.62,68.6,250.0
59197,human_escalation,1,954.81,154.8,250.0
8796,email,1,1071.45,57.5,5.0
47582,payment_link,1,3455.22,90.0,12.0
27543,payment_link,1,622.78,164.3,12.0
59134,human_escalation,1,964.54,194.2,250.0
23366,human_escalation,0,0.0,,250.0
60714,human_escalation,1,2195.71,129.7,250.0
5208,whatsapp,1,2068.22,39.8,18.0
31818,whatsapp,1,697.09,28.2,18.0
95579,whatsapp,1,1666.72,24.6,18.0
67559,email,0,0.0,,5.0
83798,voice_call,1,1665.84,214.8,90.0
55809,retry,0,0.0,,8.0
38142,payment_link,1,2771.98,70.8,12.0
34822,whatsapp,1,1594.88,158.3,18.0
98265,retry,0,0.0,,8.0
31366,voice_call,1,1860.76,100.7,90.0
16525,retry,1,3271.31,214.7,8.0
54975,whatsapp,1,4784.49,309.6,18.0
98709,email,1,1142.03,82.1,5.0
19273,retry,1,1920.93,73.1,8.0
58964,retry,1,1810.0,63.5,8.0
91719,payment_link,1,3296.11,41.4,12.0
23365,retry,1,2475.72,491.4,8.0
36119,retry,1,1902.48,138.8,8.0
71162,payment_link,1,974.01,15.3,12.0
19159,whatsapp,0,0.0,,18.0
45060,payment_link,1,1269.88,256.6,12.0
5298,email,1,2258.55,39.2,5.0
37961,whatsapp,1,2070.59,51.2,18.0
86450,payment_link,0,0.0,,12.0
92684,whatsapp,1,2614.54,91.8,18.0
82681,human_escalation,1,8034.01,323.0,250.0
13711,retry,1,1381.23,25.9,8.0
156,email,0,0.0,,5.0
37917,payment_link,1,447.21,404.4,12.0
94058,whatsapp,1,1231.38,250.4,18.0
72907,payment_link,1,1365.54,113.5,12.0
97969,retry,1,14224.42,68.6,8.0
20226,human_escalation,1,1123.76,87.6,250.0
15422,email,1,577.99,89.5,5.0
36079,human_escalation,0,0.0,,250.0
79544,retry,1,1415.28,666.0,8.0
13685,email,1,5359.55,414.5,5.0
50222,payment_link,1,1043.4,96.8,12.0
20943,payment_link,1,3294.03,230.4,12.0
63854,retry,1,2811.62,42.2,8.0
98790,human_escalation,1,2616.02,161.2,250.0
37917,whatsapp,1,447.21,295.1,18.0
95852,email,0,0.0,,5.0
4193,whatsapp,1,2444.89,26.1,18.0
44138,retry,0,0.0,,8.0
44465,whatsapp,0,0.0,,18.0
44711,payment_link,1,734.21,71.1,12.0
70934,retry,1,3163.4,313.9,8.0
22109,payment_link,1,953.91,224.4,12.0
18377,retry,1,1927.9,223.1,8.0
84784,email,0,0.0,,5.0
74028,payment_link,0,0.0,,12.0
41677,retry,1,2509.68,80.5,8.0
19614,whatsapp,1,5015.11,61.8,18.0
57575,voice_call,0,0.0,,90.0
46936,email,1,2353.11,47.4,5.0
85568,payment_link,1,677.23,301.9,12.0
39337,retry,1,1404.38,80.9,8.0
26350,payment_link,0,0.0,,12.0
74224,whatsapp,1,1961.24,94.6,18.0
86880,payment_link,1,916.1,218.7,12.0
4990,payment_link,1,2222.69,94.5,12.0
60223,retry,0,0.0,,8.0
37484,payment_link,1,1331.81,22.8,12.0
84519,payment_link,0,0.0,,12.0
17248,retry,0,0.0,,8.0
45236,retry,1,1368.71,75.4,8.0
57792,retry,0,0.0,,8.0
37158,retry,1,1914.72,37.6,8.0
65369,payment_link,1,2579.17,56.8,12.0
34026,whatsapp,1,2935.32,217.5,18.0
59129,voice_call,1,6060.91,28.2,90.0
61550,whatsapp,1,682.49,339.2,18.0
79210,whatsapp,0,0.0,,18.0
60008,whatsapp,1,1706.81,142.8,18.0
42520,retry,1,1217.2,89.4,8.0
94873,payment_link,1,3563.12,64.7,12.0
38779,voice_call,1,2364.08,74.7,90.0
36000,voice_call,1,1339.1,444.0,90.0
80543,retry,0,0.0,,8.0
70195,payment_link,0,0.0,,12.0
26375,payment_link,0,0.0,,12.0
77928,payment_link,1,877.83,554.9,12.0
