customer_id,customer_age,customer_since,total_purchases,total_spend,avg_order_value,purchase_frequency,subscription_status,ltv
152,35,2021-09-09,22,29162.98,1325.59,4.44,inactive,35790.22
153,26,2024-12-04,16,13586.08,849.13,9.32,inactive,23758.36
154,34,2023-10-19,16,24945.76,1559.11,5.62,active,60404.11
155,35,2024-01-25,22,50977.96,2317.18,8.54,active,160109.62
156,26,2021-12-06,21,17283.84,823.04,4.46,none,22462.17
157,49,2023-12-25,33,68024.88,2061.36,12.4,active,130624.44
158,36,2024-01-29,15,36329.25,2421.95,5.85,none,51435.84
159,21,2025-04-21,18,58828.86,3268.27,13.44,inactive,125896.36
160,38,2024-07-07,17,23856.61,1403.33,7.99,active,70369.4
161,23,2025-10-07,20,47513.6,2375.68,22.83,none,317721.6
162,39,2026-07-22,20,62046.6,3102.33,80.0,none,434744.79
163,42,2025-07-16,24,47649.6,1985.4,21.75,active,229627.47
164,25,2021-11-04,20,25035.6,1251.78,4.17,none,32872.96
165,41,2023-08-13,16,30798.24,1924.89,5.28,active,52554.8
166,36,2024-04-28,16,20453.12,1278.32,6.9,active,43490.2
167,39,2022-06-12,17,13479.13,792.89,4.05,none,20573.88
168,49,2022-02-14,14,20318.2,1451.3,3.1,none,25204.88
169,30,2021-02-07,18,8759.88,486.66,3.25,none,13656.26
170,25,2024-12-08,35,95890.55,2739.73,20.52,none,255212.49
171,24,2025-02-14,17,40189.7,2364.1,11.19,none,113045.75
172,25,2024-02-22,16,75010.72,4688.17,6.4,none,134765.24
173,31,2023-11-13,21,30278.85,1441.85,7.56,active,86752.35
174,35,2023-05-14,24,48901.44,2037.56,7.32,none,89744.56
175,34,2025-08-17,18,31282.2,1737.9,17.72,none,68235.84
176,39,2026-03-14,20,12994.0,649.7,45.09,inactive,56486.13
177,32,2023-10-18,20,18218.6,910.93,7.02,inactive,27451.33
178,45,2022-11-27,17,20123.92,1183.76,4.55,none,32379.6
179,30,2026-07-21,22,32271.14,1466.87,88.0,inactive,325228.77
180,56,2021-03-08,31,292711.3,9442.3,5.68,none,374294.15
181,38,2026-02-23,12,35449.92,2954.16,24.22,inactive,225161.65
182,24,2023-09-28,13,48748.96,3749.92,4.48,inactive,74530.29
183,22,2021-10-05,18,52206.3,2900.35,3.69,none,79958.59
184,36,2024-02-19,20,33451.6,1672.58,7.97,inactive,58694.65
185,30,2023-05-05,15,39700.05,2646.67,4.54,none,69982.93
186,38,2026-02-22,28,64998.92,2321.39,56.19,active,644926.96
187,36,2024-07-30,19,45622.61,2401.19,9.2,none,97129.77
188,31,2025-04-12,23,42387.39,1842.93,16.87,none,119980.4
189,24,2025-12-26,10,12649.1,1264.91,15.22,none,54566.68
190,18,2025-01-15,19,32898.5,1731.5,11.86,active,99767.28
191,28,2023-08-06,28,45706.08,1632.36,9.19,none,89577.15
192,40,2021-05-15,23,93356.08,4058.96,4.36,inactive,127188.43
193,34,2023-10-21,21,15336.93,730.33,7.4,none,23552.5
194,21,2024-10-23,18,27986.58,1554.81,9.83,none,61470.57
195,34,2024-12-02,22,85167.72,3871.26,12.78,inactive,175532.97
196,35,2021-11-18,17,43309.03,2547.59,3.57,none,74662.79
197,24,2021-12-27,21,18139.17,863.77,4.51,none,27718.94
198,33,2022-05-26,18,18781.56,1043.42,4.24,none,28565.58
199,33,2024-12-21,19,21009.06,1105.74,11.38,none,59165.89
200,22,2023-10-29,15,68602.95,4573.53,5.32,active,154209.43
201,35,2022-07-17,18,25854.3,1436.35,4.39,inactive,43469.48
202,37,2026-02-19,24,55466.16,2311.09,47.38,active,356982.87
203,42,2022-04-10,12,19027.92,1585.66,2.75,active,34120.65
204,41,2022-12-17,21,36173.34,1722.54,5.7,active,81009.86
205,20,2023-07-16,25,18184.75,727.39,8.05,none,25762.15
206,24,2021-09-13,23,16471.68,716.16,4.65,none,21579.57
207,37,2022-08-15,25,49964.5,1998.58,6.22,active,77127.66
208,37,2022-02-17,26,10858.64,417.64,5.76,active,20980.41
209,37,2022-12-25,16,32475.84,2029.74,4.37,active,59094.38
210,67,2021-09-10,16,53817.44,3363.59,3.23,none,75407.45
211,37,2023-01-26,20,14879.6,743.98,5.6,inactive,23363.58
212,42,2023-07-18,12,27908.4,2325.7,3.87,none,54380.89
213,41,2026-07-02,19,37374.33,1967.07,76.0,none,524153.67
214,38,2023-10-25,18,60430.68,3357.26,6.36,active,89723.77
215,29,2021-01-07,11,14661.68,1332.88,1.96,active,21986.53
216,39,2024-01-04,14,46701.06,3335.79,5.32,active,117566.39
217,25,2025-03-10,10,26837.7,2683.77,6.88,active,99418.91
218,30,2023-07-28,14,46965.52,3354.68,4.56,none,66673.94
219,28,2024-01-17,16,42900.96,2681.31,6.16,none,75535.8
220,33,2022-01-16,18,20052.54,1114.03,3.91,none,33393.2
221,53,2024-09-11,30,55584.6,1852.82,15.41,inactive,135150.61
222,18,2022-12-29,23,118162.04,5137.48,6.3,active,211471.13
223,38,2021-02-23,27,87621.48,3245.24,4.91,inactive,118105.98
224,18,2024-08-12,25,32167.75,1286.71,12.32,none,53599.17
225,28,2022-06-11,15,53992.65,3599.51,3.57,active,125574.02
226,42,2022-05-24,21,47692.05,2271.05,4.94,active,81484.5
227,33,2023-12-18,24,30798.48,1283.27,8.95,active,92067.15
228,22,2021-07-03,25,170719.25,6828.77,4.86,active,310078.14
229,26,2023-08-13,15,53877.0,3591.8,4.95,none,72371.34
230,38,2022-02-11,18,17211.6,956.2,3.97,none,28239.04
231,25,2024-08-27,17,22060.56,1297.68,8.55,none,48959.33
232,34,2025-03-04,20,38496.0,1924.8,13.6,inactive,98283.89
233,32,2021-01-25,16,51279.2,3204.95,2.87,inactive,68495.02
234,26,2021-10-25,23,23990.84,1043.08,4.77,active,33025.23
235,51,2025-11-20,30,35435.7,1181.19,39.7,none,177945.03
236,38,2023-08-16,21,65353.47,3112.07,6.95,none,98142.34
237,18,2025-06-15,21,89568.78,4265.18,17.67,none,314758.77
238,34,2022-09-13,12,18469.8,1539.15,3.04,none,30543.91
239,26,2022-01-02,16,17421.76,1088.86,3.45,none,23529.18
240,40,2023-08-22,14,22541.26,1610.09,4.66,active,43821.52
241,25,2024-01-29,19,40298.05,2120.95,7.41,none,68090.69
242,31,2022-05-09,15,86787.3,5785.82,3.5,inactive,120348.23
243,37,2026-05-30,11,8591.88,781.08,44.0,active,79897.23
244,40,2025-09-14,24,20599.2,858.3,25.56,active,118187.46
245,21,2025-04-07,22,16318.5,741.75,15.98,inactive,48148.8
246,29,2021-04-20,19,25512.06,1342.74,3.56,inactive,37839.02
247,28,2026-01-23,18,9169.74,509.43,31.01,none,42071.85
248,26,2025-12-13,25,80362.25,3214.49,36.09,active,534721.89
249,48,2022-09-28,18,13534.92,751.94,4.61,none,18495.6
250,36,2025-02-08,20,31237.0,1561.85,13.02,active,144165.92
251,21,2023-05-11,19,39994.81,2104.99,5.78,none,56416.34
252,40,2023-07-22,21,36868.86,1755.66,6.8,active,103540.9
253,51,2021-10-17,22,30083.46,1367.43,4.54,active,69308.4
254,41,2022-03-09,20,46381.8,2319.09,4.49,active,93349.44
255,18,2024-02-11,17,31220.67,1836.51,6.72,active,73998.19
256,28,2024-09-28,15,34637.85,2309.19,7.89,inactive,58706.3
257,43,2021-06-30,26,20211.88,777.38,5.05,active,28407.02
258,26,2024-02-06,18,30671.64,1703.98,7.08,active,70980.76
259,36,2024-04-12,16,28726.56,1795.41,6.77,none,57990.49
260,39,2022-12-28,13,26483.73,2037.21,3.56,none,37884.52
261,24,2021-06-19,22,55186.12,2508.46,4.25,none,100340.47
262,31,2026-07-28,20,22217.6,1110.88,80.0,active,290756.41
263,18,2023-08-19,20,60197.8,3009.89,6.64,inactive,78254.77
264,23,2022-03-25,26,81412.5,3131.25,5.89,active,156808.67
265,30,2022-12-13,16,80784.0,5049.0,4.33,active,146007.61
266,21,2023-09-18,17,44392.95,2611.35,5.8,active,120847.12
267,47,2022-01-19,20,7034.6,351.73,4.36,none,10655.09
268,19,2022-09-14,26,67163.2,2583.2,6.6,none,123177.29
269,28,2022-05-14,21,25587.66,1218.46,4.91,none,34699.1
270,33,2021-12-02,24,47139.84,1964.16,5.08,none,75445.94
271,45,2022-04-26,22,55134.86,2506.13,5.09,none,80797.34
272,19,2022-01-16,19,22013.02,1158.58,4.13,inactive,41907.42
273,42,2023-05-27,16,21880.48,1367.53,4.94,none,28142.2
274,32,2022-07-02,9,18074.34,2008.26,2.17,inactive,31079.56
275,23,2026-02-28,14,32147.78,2296.27,29.05,none,140397.21
276,36,2025-05-09,17,21676.36,1275.08,13.18,none,46541.62
277,34,2022-05-03,22,42968.42,1953.11,5.11,none,62267.92
278,27,2023-02-03,17,29730.96,1748.88,4.79,active,52020.57
279,33,2022-11-29,17,21410.31,1259.43,4.56,none,29670.49
280,29,2022-01-24,16,27618.88,1726.18,3.5,active,50263.72
281,33,2021-01-13,20,64442.2,3222.11,3.57,none,85123.38
282,38,2021-11-22,20,37965.2,1898.26,4.21,inactive,62802.92
283,46,2025-03-01,18,31353.66,1741.87,12.18,active,114408.18
284,21,2023-08-13,20,45470.0,2273.5,6.6,none,88060.68
285,51,2023-10-16,18,56764.98,3153.61,6.31,none,89725.59
286,18,2026-02-08,26,62293.66,2395.91,48.45,none,265684.7
287,31,2022-05-29,20,37739.8,1886.99,4.72,none,59189.64
288,37,2026-03-05,21,23399.04,1114.24,44.86,inactive,168244.99
289,35,2023-03-14,21,36870.96,1755.76,6.1,none,59425.93
290,26,2023-08-03,12,25194.84,2099.57,3.93,none,37982.85
291,30,2025-07-08,17,158925.35,9348.55,15.11,inactive,386739.36
292,28,2023-07-04,16,29048.16,1815.51,5.1,none,58321.64
293,27,2023-02-14,14,8368.92,597.78,3.98,none,13056.66
294,40,2024-12-08,20,33010.2,1650.51,11.73,inactive,119011.83
295,35,2025-01-17,22,55272.14,2512.37,13.78,none,128578.24
296,26,2025-09-29,16,43020.8,2688.8,17.82,none,144748.0
297,40,2024-03-24,21,62360.97,2969.57,8.7,active,107707.57
298,35,2025-05-30,28,47253.36,1687.62,22.73,none,109866.68
299,39,2022-11-18,10,52625.6,5262.56,2.66,active,94221.37
300,38,2021-09-19,24,52435.2,2184.8,4.87,none,66401.64
301,25,2025-05-17,18,36923.76,2051.32,14.2,none,79602.88
302,27,2025-05-19,26,30254.12,1163.62,20.6,active,91640.45
303,39,2026-04-16,20,49091.6,2454.58,56.63,none,305606.63
304,37,2024-12-16,18,46651.5,2591.75,10.69,none,86823.22
305,32,2024-03-04,13,30927.26,2379.02,5.26,active,74803.51
306,33,2021-10-11,20,42246.8,2112.34,4.11,none,59643.08
307,43,2024-07-30,11,36392.95,3308.45,5.33,none,64245.06
308,27,2025-10-03,18,126492.12,7027.34,20.29,none,350768.79
309,37,2026-07-17,16,15007.36,937.96,64.0,inactive,159159.14
310,30,2023-01-06,21,50523.48,2405.88,5.79,active,104264.35
311,30,2025-07-16,17,32644.76,1920.28,15.41,none,82781.63
312,42,2022-05-14,22,149221.82,6782.81,5.14,inactive,251966.87
313,39,2022-07-21,21,25593.54,1218.74,5.13,none,37047.39
314,39,2026-02-08,18,64371.06,3576.17,33.54,none,436370.17
315,44,2026-04-23,17,28552.52,1679.56,50.9,none,165653.86
316,32,2021-01-03,18,30808.44,1711.58,3.19,active,45882.86
317,38,2022-05-03,16,32689.6,2043.1,3.72,active,55869.94
318,29,2023-09-25,19,43903.68,2310.72,6.53,none,72790.58
319,35,2025-01-04,19,26385.68,1388.72,11.64,inactive,58040.77
320,31,2026-07-29,18,16138.44,896.58,72.0,none,142261.67
321,33,2023-04-13,20,41332.2,2066.61,5.95,none,56160.04
322,37,2022-08-30,15,43787.55,2919.17,3.77,inactive,72502.77
323,25,2024-08-05,19,28852.26,1518.54,9.28,inactive,91378.28
324,51,2022-10-31,22,66370.26,3016.83,5.77,none,94323.4
325,23,2022-12-16,11,65794.74,5981.34,2.98,active,205704.15
326,21,2023-08-18,15,29662.2,1977.48,4.98,inactive,38850.11
327,42,2022-05-09,21,34446.3,1640.3,4.89,active,58781.59
328,39,2023-06-15,16,85366.24,5335.39,5.02,inactive,163381.45
329,38,2025-06-29,19,27692.31,1457.49,16.52,active,106784.73
330,38,2021-01-14,22,14686.54,667.57,3.93,active,27599.73
331,32,2025-05-04,18,73664.1,4092.45,13.81,none,296495.45
332,24,2023-02-25,20,25107.8,1255.39,5.73,inactive,49854.99
333,33,2021-02-27,14,14872.2,1062.3,2.55,none,25228.28
334,26,2023-10-23,31,48060.85,1550.35,10.94,none,81658.06
335,41,2025-05-05,27,25968.6,961.8,20.76,none,52966.83
336,31,2022-06-17,19,44291.28,2331.12,4.54,inactive,65896.16
337,25,2022-06-26,17,17395.93,1023.29,4.09,inactive,24427.31
338,29,2021-08-03,15,37151.85,2476.79,2.97,none,49827.47
339,36,2022-03-17,16,20952.32,1309.52,3.61,inactive,28000.22
340,27,2023-10-21,23,75539.13,3284.31,8.1,inactive,200881.75
341,25,2025-07-31,15,20398.8,1359.92,14.12,none,40169.52
342,34,2024-03-17,25,39042.5,1561.7,10.27,none,69553.79
343,34,2022-06-19,17,51426.36,3025.08,4.07,active,93883.82
344,27,2024-04-16,14,7240.1,517.15,5.95,active,18963.73
345,28,2022-09-17,25,43703.5,1748.14,6.36,none,66072.48
346,34,2024-06-06,15,66128.85,4408.59,6.78,active,221244.31
347,19,2026-06-30,12,18638.88,1553.24,48.0,inactive,186560.13
348,19,2022-05-18,21,36229.62,1725.22,4.92,active,56769.48
349,26,2025-08-28,21,39820.83,1896.23,21.31,active,120600.34
350,30,2023-02-12,17,35810.84,2106.52,4.82,inactive,52150.57
351,35,2023-01-24,23,81907.37,3561.19,6.43,active,225603.73
352,45,2024-01-16,15,33305.85,2220.39,5.77,none,64108.24
353,40,2025-11-09,26,88386.48,3399.48,33.09,inactive,224343.89
354,31,2021-04-30,20,63057.0,3152.85,3.76,active,124193.9
355,32,2021-09-08,22,24471.04,1112.32,4.44,none,33020.91
356,23,2024-05-12,24,34210.32,1425.43,10.52,none,56083.49
357,32,2022-04-10,8,6194.0,774.25,1.83,none,9389.17
358,29,2022-12-18,21,35208.81,1676.61,5.71,active,57641.28
359,35,2024-09-21,16,48879.04,3054.94,8.34,none,90400.71
360,25,2021-06-01,18,27516.96,1528.72,3.44,inactive,35006.58
361,37,2026-01-03,20,57890.0,2894.5,31.49,active,487731.05
362,46,2021-07-07,27,30767.04,1139.52,5.27,inactive,41820.01
363,31,2024-04-09,27,149920.2,5552.6,11.39,none,293608.71
364,36,2024-05-23,20,22033.2,1101.66,8.89,none,51125.45
365,38,2022-01-31,18,24393.24,1355.18,3.95,none,38915.21
366,28,2026-05-29,13,35363.25,2720.25,52.0,none,363863.44
367,34,2026-02-10,20,43483.4,2174.17,37.65,none,284814.67
368,32,2026-01-16,23,70762.49,3076.63,38.36,active,610359.67
369,33,2025-08-29,17,24109.06,1418.18,17.3,active,110000.55
370,25,2023-04-20,18,34425.72,1912.54,5.38,inactive,69615.42
371,32,2021-03-22,14,22377.04,1598.36,2.58,none,29377.89
372,36,2023-03-31,17,29759.01,1750.53,5.0,active,78515.24
373,45,2021-05-07,24,28589.04,1191.21,4.53,inactive,41981.14
374,41,2026-05-02,15,33079.65,2205.31,48.48,active,697730.38
375,51,2023-09-24,16,33850.56,2115.66,5.49,none,60127.99
376,25,2023-05-13,11,34174.47,3106.77,3.35,active,82740.9
377,40,2023-04-01,26,36155.86,1390.61,7.66,active,56436.02
378,34,2021-09-12,16,21865.44,1366.59,3.24,inactive,28387.01
379,52,2021-02-14,18,35638.38,1979.91,3.26,active,73888.69
380,25,2023-07-09,25,60268.0,2410.72,8.0,none,125318.72
381,24,2022-03-16,14,71279.04,5091.36,3.15,active,177264.18
382,27,2026-05-26,20,65341.2,3267.06,80.0,active,1068720.33
383,18,2022-01-12,30,52846.2,1761.54,6.51,none,68934.45
384,27,2022-12-05,22,23481.48,1067.34,5.92,none,36856.12
385,25,2023-10-25,18,42558.66,2364.37,6.36,inactive,73257.3
386,33,2026-06-16,21,45214.89,2153.09,84.0,active,1457667.64
387,35,2021-07-26,15,10488.9,699.26,2.96,active,17630.17
388,49,2022-02-21,11,13624.16,1238.56,2.44,active,19310.49
389,41,2022-03-22,21,36385.02,1732.62,4.75,active,75125.04
390,27,2022-04-19,21,29493.03,1404.43,4.83,active,63714.73
391,24,2023-01-06,20,42099.8,2104.99,5.51,active,65583.7
392,36,2023-02-28,12,33271.32,2772.61,3.45,none,65937.46
393,20,2026-01-19,27,28012.77,1037.51,45.66,inactive,139583.57
394,48,2021-06-04,26,37682.06,1449.31,4.98,none,52222.35
395,43,2026-07-13,12,13679.88,1139.99,48.0,active,358470.65
396,28,2025-10-24,18,124401.42,6911.19,21.7,inactive,353202.74
397,18,2021-12-07,20,54420.4,2721.02,4.25,inactive,71411.04
398,44,2025-05-12,23,58644.71,2549.77,17.95,active,231326.47
399,31,2021-01-16,25,34643.5,1385.74,4.47,active,54250.6
400,43,2023-03-16,13,14148.94,1088.38,3.78,none,20441.36
401,18,2024-03-26,15,15156.15,1010.41,6.23,none,30688.85
402,27,2026-04-24,17,12023.93,707.29,51.32,active,89157.83
403,32,2025-10-08,23,70620.35,3070.45,26.33,active,294213.15
404,32,2022-03-07,18,27191.16,1510.62,4.03,active,47793.09
405,28,2023-03-21,23,53018.22,2305.14,6.72,none,82477.65
