amount,payment_method,failure_reason,customer_age,total_purchases,total_spend,avg_order_value,purchase_frequency,subscription_status,ltv,total_interactions,open_rate,click_rate,response_rate,fatigue_score,customer_tenure_days,recovered
20863.48,upi,temporary_bank_issue,34.0,22,260397.06,11836.23,10.46,none,639544.56,0.0,0.0,0.0,0.0,30.0,768,1
1079.28,debit_card,insufficient_funds,32.0,17,24689.78,1452.34,3.22,active,44769.87,1.0,1.0,0.0,0.0,35.0,1931,1
1383.22,upi,customer_abandoned,45.0,21,43588.44,2075.64,7.79,none,77087.6,3.0,1.0,0.3333333333333333,0.3333333333333333,35.0,985,0
1617.9,net_banking,authentication_failed,46.0,17,30466.72,1792.16,7.37,active,66068.88,0.0,0.0,0.0,0.0,30.0,842,0
1157.81,wallet,network_error,52.0,13,19510.92,1500.84,2.83,none,28967.94,0.0,0.0,0.0,0.0,30.0,1678,1
1651.29,net_banking,authentication_failed,38.0,23,44472.8,1933.6,4.98,inactive,73089.42,2.0,0.5,0.0,0.0,40.0,1688,0
4471.08,credit_card,network_error,27.0,16,55747.2,3484.2,5.89,inactive,117616.32,1.0,1.0,0.0,0.0,35.0,993,1
864.06,upi,customer_abandoned,33.0,25,26944.25,1077.77,7.26,inactive,51744.98,1.0,0.0,0.0,0.0,35.0,1258,0
2094.14,credit_card,customer_abandoned,18.0,19,59749.49,3144.71,4.94,inactive,74787.44,0.0,0.0,0.0,0.0,30.0,1405,1
2028.58,upi,customer_abandoned,18.0,10,47741.5,4774.15,2.62,none,67325.96,1.0,0.0,0.0,0.0,35.0,1393,1
1315.82,upi,temporary_bank_issue,40.0,27,40959.0,1517.0,7.19,inactive,63353.39,3.0,0.6666666666666666,0.0,0.0,45.0,1371,1
1126.45,debit_card,customer_abandoned,30.0,20,20628.8,1031.44,53.71,active,267742.79,1.0,1.0,0.0,0.0,35.0,136,1
2618.5,upi,insufficient_funds,38.0,16,38124.64,2382.79,3.18,active,62197.41,1.0,0.0,0.0,0.0,35.0,1835,1
1712.88,net_banking,temporary_bank_issue,27.0,24,51025.92,2126.08,5.76,active,84033.1,0.0,0.0,0.0,0.0,30.0,1521,1
1698.29,upi,customer_abandoned,21.0,20,33369.2,1668.46,3.77,active,60644.04,0.0,0.0,0.0,0.0,30.0,1939,1
2600.57,debit_card,temporary_bank_issue,44.0,15,26251.95,1750.13,5.0,inactive,36965.78,0.0,0.0,0.0,0.0,30.0,1095,1
10498.11,wallet,customer_abandoned,26.0,18,85617.54,4756.53,4.83,active,177789.9,2.0,1.0,0.5,0.5,25.0,1362,1
2861.31,upi,temporary_bank_issue,32.0,29,95239.48,3284.12,38.8,inactive,259339.43,3.0,1.0,0.0,0.0,45.0,273,1
1371.99,upi,customer_abandoned,32.0,13,45913.79,3531.83,5.07,none,73557.79,1.0,1.0,0.0,0.0,35.0,937,1
1402.22,net_banking,expired_card,42.0,25,58597.0,2343.88,5.39,active,95882.8,3.0,0.6666666666666666,0.3333333333333333,0.0,45.0,1694,1
780.33,net_banking,network_error,24.0,14,8285.9,591.85,4.36,none,12456.84,1.0,1.0,0.0,0.0,35.0,1174,1
1890.95,upi,insufficient_funds,18.0,19,27342.14,1439.06,5.0,inactive,41028.96,0.0,0.0,0.0,0.0,30.0,1388,0
1324.92,upi,customer_abandoned,32.0,24,42962.16,1790.09,5.9,none,80667.46,0.0,0.0,0.0,0.0,30.0,1485,1
968.53,upi,network_error,30.0,14,18263.7,1304.55,32.57,active,134426.51,2.0,0.5,0.0,0.0,40.0,157,1
6811.92,debit_card,temporary_bank_issue,20.0,17,61560.91,3621.23,3.13,active,93027.76,1.0,1.0,0.0,0.0,35.0,1985,1
365.68,credit_card,insufficient_funds,37.0,13,9648.73,742.21,7.43,active,24560.84,1.0,1.0,1.0,0.0,35.0,639,0
4622.41,credit_card,authentication_failed,34.0,24,82472.4,3436.35,6.94,active,154658.4,0.0,0.0,0.0,0.0,30.0,1264,1
5919.06,debit_card,temporary_bank_issue,44.0,29,128535.83,4432.27,12.26,active,236644.55,1.0,1.0,1.0,0.0,35.0,864,1
3199.56,upi,customer_abandoned,29.0,23,53550.44,2328.28,4.8,active,74422.43,0.0,0.0,0.0,0.0,30.0,1750,0
16400.64,credit_card,expired_card,35.0,13,57722.86,4440.22,2.81,none,95513.21,0.0,0.0,0.0,0.0,30.0,1692,0
2424.94,upi,insufficient_funds,27.0,24,81602.64,3400.11,8.25,inactive,120481.14,0.0,0.0,0.0,0.0,30.0,1062,1
2176.65,upi,customer_abandoned,26.0,19,41642.49,2191.71,5.53,none,75532.86,0.0,0.0,0.0,0.0,30.0,1256,1
538.89,credit_card,bank_decline,26.0,28,13439.72,479.99,17.91,none,30935.74,0.0,0.0,0.0,0.0,30.0,571,1
1272.69,credit_card,network_error,21.0,16,27172.0,1698.25,14.01,active,108454.53,0.0,0.0,0.0,0.0,30.0,417,1
1834.54,upi,temporary_bank_issue,36.0,15,33202.35,2213.49,2.8,active,44641.33,0.0,0.0,0.0,0.0,30.0,1958,1
3477.61,debit_card,insufficient_funds,21.0,20,61159.0,3057.95,5.39,inactive,109988.18,2.0,1.0,0.0,0.0,40.0,1356,1
803.97,upi,bank_decline,24.0,21,21721.98,1034.38,57.67,active,275014.75,5.0,0.6,0.0,0.0,55.0,133,0
6203.38,upi,network_error,31.0,21,81868.29,3898.49,8.89,none,131216.21,2.0,1.0,0.0,0.0,40.0,863,0
2697.51,debit_card,temporary_bank_issue,23.0,13,25096.11,1930.47,3.05,none,35607.06,1.0,1.0,1.0,1.0,5.0,1556,1
1397.77,debit_card,temporary_bank_issue,33.0,16,27919.04,1744.94,3.64,inactive,41124.13,1.0,1.0,0.0,0.0,35.0,1604,1
954.08,debit_card,temporary_bank_issue,35.0,22,22883.3,1040.15,6.24,active,43809.83,1.0,1.0,0.0,0.0,35.0,1287,1
965.67,upi,temporary_bank_issue,21.0,21,34466.46,1641.26,6.08,none,48666.82,1.0,0.0,0.0,0.0,35.0,1261,1
2834.2,upi,customer_abandoned,40.0,23,72809.49,3165.63,8.43,none,155886.02,0.0,0.0,0.0,0.0,30.0,996,0
3564.18,wallet,insufficient_funds,32.0,21,77451.57,3688.17,84.0,none,600876.22,2.0,1.0,0.5,0.5,25.0,28,1
1966.12,credit_card,customer_abandoned,55.0,16,30401.92,1900.12,12.96,active,107985.74,4.0,0.75,0.0,0.0,50.0,451,1
1357.01,debit_card,authentication_failed,36.0,25,28034.75,1121.39,7.12,inactive,38851.83,2.0,0.5,0.0,0.0,40.0,1283,1
2471.9,credit_card,customer_abandoned,31.0,17,40701.23,2394.19,4.23,active,68182.41,1.0,0.0,0.0,0.0,35.0,1468,0
1295.48,credit_card,temporary_bank_issue,41.0,20,41085.6,2054.28,4.43,none,57644.01,0.0,0.0,0.0,0.0,30.0,1649,1
915.79,credit_card,bank_decline,19.0,16,14841.92,927.62,64.0,active,180193.21,2.0,1.0,1.0,0.0,40.0,75,1
3759.39,net_banking,insufficient_funds,34.0,18,58584.96,3254.72,6.76,active,135298.24,2.0,1.0,1.0,0.0,40.0,973,1
2577.49,credit_card,bank_decline,26.0,16,19109.28,1194.33,2.87,none,38875.43,0.0,0.0,0.0,0.0,30.0,2036,1
1187.98,debit_card,network_error,37.0,15,14550.75,970.05,2.73,inactive,18743.65,1.0,0.0,0.0,0.0,35.0,2007,1
2160.7,upi,bank_decline,37.0,19,60894.81,3204.99,4.1,inactive,96582.83,3.0,1.0,0.0,0.0,45.0,1692,1
737.64,upi,insufficient_funds,18.0,24,20879.76,869.99,48.43,active,150548.42,1.0,1.0,0.0,0.0,35.0,181,1
1329.23,upi,expired_card,30.0,22,42542.5,1933.75,25.84,active,215998.37,2.0,1.0,0.0,0.0,40.0,311,0
1412.36,net_banking,temporary_bank_issue,41.0,25,53784.0,2151.36,4.55,active,103177.8,0.0,0.0,0.0,0.0,30.0,2006,1
2778.14,credit_card,insufficient_funds,25.0,21,62638.38,2982.78,8.67,inactive,128642.22,0.0,0.0,0.0,0.0,30.0,885,1
3327.31,credit_card,insufficient_funds,18.0,20,55188.2,2759.41,11.94,none,90843.77,4.0,0.5,0.25,0.0,50.0,612,1
812.7,debit_card,temporary_bank_issue,36.0,16,20715.04,1294.69,6.32,none,38064.18,0.0,0.0,0.0,0.0,30.0,924,1
1570.3,credit_card,customer_abandoned,43.0,16,18426.72,1151.67,5.98,active,34434.79,0.0,0.0,0.0,0.0,30.0,977,1
1597.08,upi,insufficient_funds,34.0,19,24284.28,1278.12,3.67,inactive,34852.21,2.0,0.5,0.5,0.0,40.0,1889,1
527.48,upi,bank_decline,47.0,19,21557.4,1134.6,76.0,inactive,344625.95,1.0,1.0,0.0,0.0,35.0,39,0
1083.02,upi,insufficient_funds,29.0,15,12444.75,829.65,7.51,none,25997.66,1.0,1.0,1.0,1.0,5.0,730,0
824.55,upi,network_error,29.0,23,44419.21,1931.27,74.34,none,440792.51,0.0,0.0,0.0,0.0,30.0,113,1
1342.32,debit_card,authentication_failed,38.0,30,71582.7,2386.09,8.68,none,103136.63,1.0,1.0,0.0,0.0,35.0,1262,1
3425.63,credit_card,bank_decline,30.0,23,71676.51,3116.37,8.3,inactive,111943.98,1.0,0.0,0.0,0.0,35.0,1012,0
2986.79,upi,expired_card,52.0,16,74293.44,4643.34,64.0,inactive,578387.85,1.0,1.0,1.0,0.0,35.0,20,1
377.44,debit_card,insufficient_funds,40.0,12,7139.04,594.92,3.02,inactive,12835.4,1.0,1.0,0.0,0.0,35.0,1452,1
1147.85,upi,insufficient_funds,36.0,18,16568.82,920.49,4.71,none,24706.8,2.0,0.5,0.0,0.0,40.0,1395,1
1380.46,credit_card,customer_abandoned,39.0,15,19226.4,1281.76,7.21,active,44261.54,1.0,0.0,0.0,0.0,35.0,760,1
1159.65,credit_card,insufficient_funds,24.0,23,32146.87,1397.69,9.89,active,94519.59,2.0,1.0,1.0,0.0,40.0,849,0
1085.78,credit_card,customer_abandoned,44.0,16,34318.24,2144.89,14.57,none,111455.86,0.0,0.0,0.0,0.0,30.0,401,1
2755.31,debit_card,temporary_bank_issue,40.0,15,22512.9,1500.86,60.0,none,254777.62,2.0,0.5,0.5,0.5,25.0,38,1
1030.09,debit_card,temporary_bank_issue,34.0,27,27882.09,1032.67,16.71,none,90074.43,1.0,0.0,0.0,0.0,35.0,590,0
4006.77,debit_card,bank_decline,18.0,18,75044.88,4169.16,4.62,none,135369.21,1.0,1.0,1.0,1.0,5.0,1422,0
2139.69,net_banking,expired_card,28.0,20,39679.2,1983.96,10.12,active,76891.38,0.0,0.0,0.0,0.0,30.0,722,1
3140.33,upi,bank_decline,40.0,20,68485.4,3424.27,6.14,active,118567.34,1.0,1.0,0.0,0.0,35.0,1190,0
1625.57,debit_card,customer_abandoned,27.0,13,17732.91,1364.07,4.72,none,30381.33,0.0,0.0,0.0,0.0,30.0,1005,1
476.4,net_banking,customer_abandoned,45.0,16,12979.2,811.2,3.16,active,23777.93,1.0,1.0,1.0,1.0,5.0,1847,0
1091.95,upi,network_error,28.0,14,28850.64,2060.76,4.55,none,54983.48,0.0,0.0,0.0,0.0,30.0,1123,1
650.37,credit_card,network_error,21.0,20,16836.8,841.84,4.39,none,25760.16,2.0,0.5,0.0,0.0,40.0,1664,1
3146.27,debit_card,temporary_bank_issue,37.0,21,84395.22,4018.82,17.01,none,161905.2,2.0,0.0,0.0,0.0,40.0,451,1
5255.15,wallet,bank_decline,23.0,26,86019.44,3308.44,18.55,inactive,181388.35,1.0,1.0,0.0,0.0,35.0,512,1
2841.86,upi,temporary_bank_issue,39.0,12,44650.68,3720.89,10.8,none,120260.04,1.0,1.0,1.0,0.0,35.0,406,1
4564.32,net_banking,insufficient_funds,42.0,21,47401.83,2257.23,5.31,none,63600.76,2.0,0.5,0.0,0.0,40.0,1445,1
2782.83,upi,bank_decline,31.0,12,25905.0,2158.75,11.07,active,98148.09,1.0,0.0,0.0,0.0,35.0,396,1
1813.97,upi,authentication_failed,32.0,22,15212.12,691.46,24.72,inactive,46006.64,1.0,0.0,0.0,0.0,35.0,325,0
1053.26,credit_card,expired_card,21.0,20,22438.6,1121.93,5.73,none,42316.54,0.0,0.0,0.0,0.0,30.0,1275,0
1018.12,upi,temporary_bank_issue,19.0,20,39852.4,1992.62,6.62,active,66978.25,0.0,0.0,0.0,0.0,30.0,1104,1
3274.33,upi,expired_card,33.0,18,33185.52,1843.64,72.0,none,395928.27,0.0,0.0,0.0,0.0,30.0,14,0
1965.03,upi,temporary_bank_issue,39.0,14,28064.12,2004.58,48.7,none,235955.95,1.0,1.0,1.0,1.0,5.0,105,1
372.17,credit_card,bank_decline,45.0,19,6427.89,338.31,4.41,none,8832.65,2.0,1.0,1.0,0.5,25.0,1575,1
4383.45,net_banking,temporary_bank_issue,21.0,17,47465.02,2792.06,4.58,active,79853.55,0.0,0.0,0.0,0.0,30.0,1357,1
927.18,upi,bank_decline,27.0,16,23418.56,1463.66,20.36,none,140018.4,0.0,0.0,0.0,0.0,30.0,287,0
6682.73,debit_card,insufficient_funds,32.0,13,102574.55,7890.35,39.57,none,488401.12,1.0,1.0,1.0,1.0,5.0,120,1
1885.23,net_banking,customer_abandoned,33.0,30,44264.1,1475.47,6.73,active,77836.3,2.0,1.0,0.0,0.0,40.0,1628,0
1237.32,debit_card,network_error,41.0,19,14416.82,758.78,59.83,active,243302.45,0.0,0.0,0.0,0.0,30.0,116,1
1396.14,wallet,authentication_failed,38.0,23,37942.64,1649.68,6.89,inactive,57662.15,1.0,0.0,0.0,0.0,35.0,1219,0
2762.63,debit_card,temporary_bank_issue,43.0,17,67780.87,3987.11,4.57,none,122045.43,1.0,1.0,0.0,0.0,35.0,1358,1
3476.32,credit_card,customer_abandoned,35.0,24,38860.8,1619.2,8.45,active,83004.84,0.0,0.0,0.0,0.0,30.0,1038,0
3538.52,upi,insufficient_funds,32.0,18,84051.0,4669.5,6.38,none,178759.84,2.0,0.5,0.0,0.0,40.0,1031,0
1532.61,credit_card,customer_abandoned,26.0,20,36406.2,1820.31,4.95,active,64487.56,1.0,1.0,0.0,0.0,35.0,1476,1
1730.79,credit_card,authentication_failed,39.0,15,33347.55,2223.17,2.93,none,42935.8,0.0,0.0,0.0,0.0,30.0,1868,1
3504.46,upi,network_error,36.0,18,68043.78,3780.21,51.36,none,678405.97,0.0,0.0,0.0,0.0,30.0,128,1
1404.36,upi,temporary_bank_issue,39.0,20,63769.2,3188.46,4.62,none,83482.3,1.0,0.0,0.0,0.0,35.0,1580,1
2433.87,upi,authentication_failed,19.0,27,50134.14,1856.82,4.93,active,73160.26,1.0,1.0,0.0,0.0,35.0,2002,0
4307.95,debit_card,temporary_bank_issue,27.0,26,103053.6,3963.6,38.29,active,843557.53,0.0,0.0,0.0,0.0,30.0,248,1
1796.73,net_banking,network_error,18.0,20,28611.0,1430.55,4.26,active,43323.07,0.0,0.0,0.0,0.0,30.0,1716,1
1066.74,debit_card,temporary_bank_issue,30.0,23,23345.69,1015.03,14.05,active,93159.12,1.0,1.0,1.0,1.0,5.0,598,1
1850.65,credit_card,authentication_failed,27.0,18,30915.72,1717.54,16.86,none,85661.34,1.0,0.0,0.0,0.0,35.0,390,0
2166.76,upi,expired_card,31.0,17,36149.31,2126.43,4.31,inactive,72166.98,3.0,0.6666666666666666,0.0,0.0,45.0,1439,1
1412.7,upi,insufficient_funds,28.0,22,22570.02,1025.91,51.51,none,113270.72,1.0,1.0,0.0,0.0,35.0,156,1
776.24,net_banking,bank_decline,25.0,19,31628.73,1664.67,11.02,none,58079.02,4.0,0.25,0.0,0.0,50.0,630,1
3169.53,upi,expired_card,31.0,23,48938.94,2127.78,8.1,active,112140.18,0.0,0.0,0.0,0.0,30.0,1037,1
3507.5,credit_card,customer_abandoned,18.0,14,37709.84,2693.56,2.82,none,57361.28,0.0,0.0,0.0,0.0,30.0,1816,0
7494.31,net_banking,network_error,28.0,23,148776.88,6468.56,30.33,inactive,877705.81,0.0,0.0,0.0,0.0,30.0,277,1
2062.33,upi,insufficient_funds,42.0,17,22981.79,1351.87,17.44,inactive,71628.44,1.0,0.0,0.0,0.0,35.0,356,1
5101.24,upi,temporary_bank_issue,49.0,22,64753.48,2943.34,4.7,none,93588.24,1.0,1.0,0.0,0.0,35.0,1711,1
2970.14,upi,temporary_bank_issue,53.0,16,34615.84,2163.49,8.13,none,80425.34,2.0,1.0,0.0,0.0,40.0,719,0
2152.46,credit_card,bank_decline,39.0,18,44481.6,2471.2,3.67,active,68873.42,1.0,1.0,0.0,0.0,35.0,1793,0
967.91,credit_card,insufficient_funds,41.0,22,13120.58,596.39,63.77,active,202692.81,1.0,1.0,1.0,1.0,5.0,126,0
1751.0,upi,temporary_bank_issue,31.0,14,26446.42,1889.03,56.0,inactive,173406.57,0.0,0.0,0.0,0.0,30.0,54,1
727.58,credit_card,insufficient_funds,18.0,18,17068.14,948.23,3.49,none,21779.75,0.0,0.0,0.0,0.0,30.0,1884,1
6273.11,credit_card,insufficient_funds,33.0,19,126604.03,6663.37,19.12,inactive,301037.49,1.0,0.0,0.0,0.0,35.0,363,1
2173.68,debit_card,authentication_failed,29.0,23,26904.71,1169.77,5.76,active,69140.23,0.0,0.0,0.0,0.0,30.0,1459,1
1939.82,credit_card,expired_card,24.0,18,35799.66,1988.87,13.2,inactive,108663.82,4.0,0.5,0.0,0.0,50.0,498,1
2024.22,upi,insufficient_funds,18.0,30,68656.8,2288.56,5.48,inactive,87296.5,1.0,0.0,0.0,0.0,35.0,1998,1
4197.54,wallet,network_error,32.0,19,121745.54,6407.66,5.0,none,171286.39,0.0,0.0,0.0,0.0,30.0,1389,1
5576.78,net_banking,network_error,44.0,22,77423.28,3519.24,7.28,active,144905.23,0.0,0.0,0.0,0.0,30.0,1104,0
1524.15,upi,network_error,23.0,18,33682.32,1871.24,72.0,inactive,232221.59,1.0,1.0,1.0,0.0,35.0,30,1
3699.95,credit_card,insufficient_funds,37.0,26,46608.9,1792.65,9.69,active,117888.72,1.0,0.0,0.0,0.0,35.0,980,1
2809.63,net_banking,temporary_bank_issue,28.0,29,57220.19,1973.11,8.39,none,93403.67,0.0,0.0,0.0,0.0,30.0,1262,1
3577.2,credit_card,customer_abandoned,34.0,18,26544.78,1474.71,3.73,active,40464.72,0.0,0.0,0.0,0.0,30.0,1762,1
2331.48,upi,expired_card,39.0,27,52783.38,1954.94,22.88,active,247828.61,0.0,0.0,0.0,0.0,30.0,431,1
6635.96,credit_card,temporary_bank_issue,35.0,22,101760.34,4625.47,88.0,inactive,714957.37,0.0,0.0,0.0,0.0,30.0,80,0
3179.51,credit_card,temporary_bank_issue,31.0,24,119348.64,4972.86,35.35,none,724218.73,2.0,0.0,0.0,0.0,40.0,248,1
1424.0,debit_card,customer_abandoned,54.0,17,33870.8,1992.4,6.63,active,69116.69,1.0,1.0,0.0,0.0,35.0,936,1
4149.11,credit_card,network_error,53.0,18,38217.78,2123.21,5.99,none,53939.52,0.0,0.0,0.0,0.0,30.0,1097,1
815.59,debit_card,bank_decline,33.0,34,27006.54,794.31,52.84,none,125424.97,1.0,1.0,1.0,0.0,35.0,235,0
1982.51,credit_card,network_error,46.0,14,20129.2,1437.8,9.54,inactive,49256.33,0.0,0.0,0.0,0.0,30.0,536,0
1153.06,upi,authentication_failed,43.0,24,37581.12,1565.88,37.62,none,116422.66,2.0,1.0,0.0,0.0,40.0,233,1
1910.87,upi,authentication_failed,32.0,9,18284.67,2031.63,2.98,none,31981.2,1.0,0.0,0.0,0.0,35.0,1104,1
1275.55,credit_card,expired_card,30.0,19,19442.13,1023.27,3.73,active,31563.55,0.0,0.0,0.0,0.0,30.0,1862,1
835.8,debit_card,customer_abandoned,23.0,11,12296.9,1117.9,2.05,none,17041.51,0.0,0.0,0.0,0.0,30.0,1957,1
2994.85,debit_card,insufficient_funds,18.0,20,43033.4,2151.67,8.46,inactive,74522.88,1.0,0.0,0.0,0.0,35.0,863,1
2499.25,upi,authentication_failed,46.0,17,30627.54,1801.62,4.9,active,68700.51,0.0,0.0,0.0,0.0,30.0,1266,1
1758.35,upi,authentication_failed,40.0,19,39469.65,2077.35,4.23,none,59513.15,1.0,1.0,0.0,0.0,35.0,1642,1
1083.49,credit_card,customer_abandoned,38.0,19,38282.72,2014.88,13.09,none,101545.8,0.0,0.0,0.0,0.0,30.0,530,1
717.41,debit_card,customer_abandoned,19.0,13,15135.25,1164.25,2.73,inactive,20587.44,0.0,0.0,0.0,0.0,30.0,1737,1
2304.99,upi,network_error,34.0,16,37230.88,2326.93,23.95,active,253276.62,2.0,1.0,0.0,0.0,40.0,244,1
3704.21,upi,authentication_failed,40.0,16,33373.76,2085.86,3.46,inactive,49201.24,2.0,0.5,0.0,0.0,40.0,1688,0
996.44,credit_card,bank_decline,30.0,15,12457.65,830.51,3.15,none,20046.31,2.0,0.5,0.0,0.0,40.0,1741,1
4008.5,debit_card,expired_card,28.0,24,98153.28,4089.72,21.49,none,283840.54,1.0,0.0,0.0,0.0,35.0,408,1
3760.12,credit_card,insufficient_funds,35.0,26,47488.22,1826.47,9.61,none,88714.26,1.0,1.0,0.0,0.0,35.0,988,1
2882.97,debit_card,insufficient_funds,24.0,20,35606.0,1780.3,8.71,active,131437.14,1.0,0.0,0.0,0.0,35.0,839,1
3449.39,upi,network_error,29.0,20,45345.0,2267.25,39.27,none,233611.72,1.0,1.0,0.0,0.0,35.0,186,1
3454.35,credit_card,customer_abandoned,43.0,13,34261.63,2635.51,2.49,none,45277.7,0.0,0.0,0.0,0.0,30.0,1904,1
1965.55,upi,network_error,30.0,19,22307.9,1174.1,8.19,none,84582.56,3.0,0.6666666666666666,0.0,0.0,45.0,847,1
822.1,upi,bank_decline,27.0,21,16785.3,799.3,14.34,inactive,38046.58,1.0,1.0,0.0,0.0,35.0,535,1
2555.63,upi,bank_decline,18.0,26,41126.54,1581.79,13.32,active,79573.01,2.0,0.5,0.5,0.0,40.0,713,1
1702.47,upi,temporary_bank_issue,39.0,16,34574.08,2160.88,11.6,inactive,63235.07,0.0,0.0,0.0,0.0,30.0,504,1
2749.44,upi,expired_card,35.0,16,26272.32,1642.02,3.18,none,37902.47,0.0,0.0,0.0,0.0,30.0,1835,0
2551.25,upi,expired_card,28.0,23,57206.29,2487.23,6.04,none,85843.86,3.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,35.0,1391,0
2008.28,upi,expired_card,30.0,21,54046.86,2573.66,6.85,active,85742.59,3.0,0.6666666666666666,0.3333333333333333,0.0,45.0,1119,0
3862.22,credit_card,insufficient_funds,32.0,28,63176.4,2256.3,12.64,none,111525.11,2.0,0.5,0.0,0.0,40.0,809,1
570.22,credit_card,bank_decline,29.0,18,11257.02,625.39,4.65,active,28643.73,0.0,0.0,0.0,0.0,30.0,1413,1
5893.61,credit_card,network_error,33.0,18,83967.66,4664.87,13.78,none,179800.63,3.0,0.6666666666666666,0.0,0.0,45.0,477,1
2755.31,debit_card,temporary_bank_issue,40.0,15,22512.9,1500.86,60.0,none,254777.62,2.0,0.5,0.5,0.5,25.0,38,1
2895.92,debit_card,authentication_failed,34.0,19,50617.71,2664.09,5.9,active,77251.47,3.0,0.6666666666666666,0.0,0.0,45.0,1176,1
496.23,credit_card,bank_decline,39.0,17,17207.74,1012.22,4.46,none,30429.18,0.0,0.0,0.0,0.0,30.0,1392,1
1909.67,credit_card,insufficient_funds,26.0,15,16552.65,1103.51,3.38,none,22345.65,0.0,0.0,0.0,0.0,30.0,1619,0
368.23,credit_card,network_error,23.0,18,10371.96,576.22,5.2,inactive,18309.94,4.0,1.0,0.25,0.25,42.5,1265,1
1753.85,net_banking,insufficient_funds,31.0,26,13769.86,529.61,34.66,active,119286.45,2.0,0.5,0.0,0.0,40.0,274,0
1849.79,credit_card,insufficient_funds,18.0,18,31773.6,1765.2,22.36,active,128716.06,3.0,0.6666666666666666,0.6666666666666666,0.0,45.0,294,0
2574.92,debit_card,insufficient_funds,42.0,21,38982.72,1856.32,18.01,none,146348.65,1.0,1.0,1.0,0.0,35.0,426,1
